data,custo_usd,previsao_baseline,previsao_sarimax,previsao_prophet,previsao_gb
2024-11-01,92.7282530265121,78.54075242096722,76.10228080902485,89.08456482783632,77.27642407750315
2024-11-02,89.68090832407714,63.68652690794776,70.84252293187937,82.36836468370689,73.37243611119663
2024-11-03,103.11543289617944,70.64275765472769,70.57277394754365,82.02755118474778,73.13858107096766
2024-11-04,88.45782601830112,57.34735793168156,77.3281390189496,86.551059520255,83.61327458775976
2024-11-05,99.9031518559449,80.51400497078028,82.94323747765115,94.16991460926133,84.52581685878351
2024-11-06,119.09744701815058,78.45219934217535,93.47376649149199,102.56605418329231,96.25757894415426
2024-11-07,103.65597555694455,73.30680555568956,96.65617274978601,103.15714845890476,105.67090619858848
2024-11-08,123.3752998967147,92.7282530265121,97.9128860077593,108.29950615612609,104.06015910651803
2024-11-09,114.29135004856278,89.68090832407714,95.27872994609218,101.30514628313762,102.3032777345632
2024-11-10,90.6763829563191,103.11543289617944,95.80039222675524,100.6741470089031,101.27191606518514
2024-11-11,107.54167126044209,88.45782601830112,95.32246126264018,104.24867450047014,92.08412078119656
2024-11-12,96.94944767876883,99.9031518559449,106.17887205391604,111.09357482423079,102.03424408079468
2024-11-13,119.3178774055376,119.09744701815058,109.42567594319847,118.63449245154732,101.44932691827032
2024-11-14,117.48506783800713,103.65597555694455,110.76335494619669,117.73946728925138,123.25949392380684
2024-11-15,114.5872120312011,123.3752998967147,112.58516970281786,118.89473332868269,114.60224419851808
2024-11-16,95.53933622953268,114.29135004856278,103.33498052215037,110.32904272843275,109.81516695777708
2024-11-17,77.93449792491222,90.6763829563191,99.83879709161138,107.78676327503939,96.66065244338321
2024-11-18,103.5936353308906,107.54167126044209,98.12737813656035,109.96360044648668,101.93654646095743
2024-11-19,92.6019335163994,96.94944767876883,106.9000144202022,114.97768213856473,108.8176615346075
2024-11-20,111.1149542967158,119.3178774055376,108.2400588021712,121.18987881656244,111.90693251620341
2024-11-21,120.9649907466974,117.48506783800713,107.58198977222318,118.76287214165184,112.19542228370274
2024-11-22,117.72629404997588,114.5872120312011,110.93307475334164,113.66143780662696,113.43279035428479
2024-11-23,113.54106252771092,95.53933622953268,101.06525821614903,103.81425294453513,103.14688042129107
2024-11-24,99.74246106866109,77.93449792491222,100.9218789891085,100.04067693206495,99.22522471530252
2024-11-25,92.40639751242747,103.5936353308906,102.15797807454716,101.68672919228737,107.76333001475311
2024-11-26,104.5222424987208,92.6019335163994,106.28810414796841,105.7685383562591,105.29031855895805
2024-11-27,115.640903698146,111.1149542967158,114.3054485692756,111.64220852537088,119.03713960796736
2024-11-28,98.31369670953436,120.9649907466974,112.19266929046573,109.15852546817513,121.6149524508546
2024-11-29,106.39275556384771,117.72629404997588,110.20796187504789,108.20450463201026,112.08860085203558
2024-11-30,96.10396554399824,113.54106252771092,101.71870504502301,98.46267695554637,109.6152601150447
2024-12-01,77.30044235791213,99.74246106866109,97.3299365348348,94.74116248835918,96.7403714004966
2024-12-02,100.54880018806216,92.40639751242747,94.97712340395321,96.60320318837739,95.25222955353125
2024-12-03,104.59576153342108,104.5222424987208,103.09757693880539,101.26341651072876,110.86928290632542
2024-12-04,99.92809079641631,115.640903698146,108.31231972628309,107.77802492221169,111.90865105374307
2024-12-05,114.21309934427568,98.31369670953436,103.49252923649941,105.70583554474219,107.60887915519568
2024-12-06,119.6462998733472,106.39275556384771,108.60093236578868,105.25927843495181,108.56607475436017
2024-12-07,102.1610928050976,96.10396554399824,99.96095360196273,96.2506768582401,98.8042207251951
2024-12-08,94.02917257136986,77.30044235791213,96.04798815604747,93.06797084855171,91.8350711099938
2024-12-09,104.09272762957843,100.54880018806216,98.66717304604478,95.93953970834458,100.35777775261883
2024-12-10,115.12040311316352,104.59576153342108,105.76630346335581,101.24859704683767,108.0519358493511
2024-12-11,118.63609100082536,99.92809079641631,113.72746386590475,108.1836880905392,110.85693309513528
2024-12-12,109.50461180416347,114.21309934427568,111.78654041691236,106.80153661048217,114.2713582799976
2024-12-13,115.8947506826899,119.6462998733472,113.22733990934903,110.65555856897954,120.44386415574633
2024-12-14,108.159815905041,102.1610928050976,105.17556085779376,101.57955357332352,97.66600859504437
2024-12-15,89.09969479857614,94.02917257136986,102.10751803075468,98.25280374012029,98.21592573575933
2024-12-16,117.15801394146492,104.09272762957843,101.6820779231198,101.03946960637772,107.98489235730993
2024-12-17,102.81005318231836,115.12040311316352,111.92497022965196,106.08322903133532,119.24547191631957
2024-12-18,116.51463587622628,118.63609100082536,114.15221473284495,112.45680942916889,115.30423209549723
2024-12-19,110.74107468765874,109.50461180416347,113.9050996569855,110.17545969331984,114.39012165391016
2024-12-20,115.7053897079982,115.8947506826899,114.87029962383237,111.0429423099832,122.92915519338827
2024-12-21,87.00825026365106,108.159815905041,105.8361817544243,100.8597984395368,103.61532045562802
2024-12-22,91.39869004803585,89.09969479857614,97.80072873900724,96.09537273084887,99.77334228682288
2024-12-23,91.026340821187,117.15801394146492,101.856550675931,97.95589911428833,103.31490171666054
2024-12-24,110.67799599642473,102.81005318231836,104.13627774207893,101.40009492886972,103.38025963435355
2024-12-25,124.3111827905969,116.51463587622628,112.48932127233975,106.5155718437005,116.01305427521115
2024-12-26,119.13043635456889,110.74107468765874,110.85207480469862,102.77821296133354,114.73234002679753
2024-12-27,97.36522958987776,115.7053897079982,113.10442628062326,102.51651700375535,120.36930718391905
2024-12-28,119.66842157098914,87.00825026365106,99.7218087254273,90.75312599177188,94.5388036644726
2024-12-29,98.5373177320172,91.39869004803585,103.04391927457478,84.89676219719897,101.03765734692064
2024-12-30,93.81038523843682,91.026340821187,102.35389841455174,85.64470199654406,103.58606348718062
